city,street,endNode
"Boston, MA",Black Falcon Ave,Design Center Pl
"Boston, MA",NA,Exit 24A: Govt Ctr
"Boston, MA",Arborway,NA
"Boston, MA",Adams St,Dix St
"Boston, MA",NA,Huntington Ave
"Boston, MA",Arborway,Washington St
"Boston, MA",NA,to Airport Exit / I-90 / I-93 / SR-1A
"Boston, MA",Adams St,Eustis St
"Boston, MA",Adams St,Parkman St
"Boston, MA",NA,East Boston Expy
"Boston, MA",NA,Kelton St
"Boston, MA",,Bremen St
"Boston, MA",Adams St,Wrentham St
"Boston, MA",Blossom St,NA
"Boston, MA",NA,Hotel Dr
"Boston, MA",NA,Exit 26: MA-28 N / Leverrett Cir / North Station
"Boston, MA",Blossom St,Charles St
"Boston, MA",Addington Rd,Chellman St
"Boston, MA",Arlington St,Central Ave
"Boston, MA",NA,Exit 24A: South Station
"Boston, MA",Ashland St,Elm St
"Boston, MA",NA,to US-1 N
"Boston, MA",Colberg Ave,W Roxbury Pkwy
"Boston, MA",NA,Exit 26: Storrow Dr
"Boston, MA",Blue Hill Ave,Babson St
"Boston, MA",Alabama St,Almont St
"Boston, MA",Ashmont St,Newhall St
"Boston, MA",NA,Blue Hill Ave
"Boston, MA",Columbia Rd,Annabel St
"Boston, MA",Albany St,E Brookline St
"Boston, MA",NA,Foster St
"Boston, MA",NA,Centre St
"Boston, MA",,Columbia Rd
"Boston, MA",NA,Mass Ave Connector
"Boston, MA",NA,VFW Pkwy
"Boston, MA",NA,Columbia Rd
"Boston, MA",Ashton St,Callender St
"Boston, MA",NA,Circuit Dr
"Boston, MA",NA,Nonantum Rd
"Boston, MA",NA,to SR-1A / I-93 N / Boston / Revere
"Boston, MA",Albany St,Mall St
"Boston, MA",NA,Fenway
"Boston, MA",Athens St,W Second St
"Boston, MA",NA,Exi 24A: S Station
"Boston, MA",NA,D St
"Boston, MA",,Porter St
"Boston, MA",NA,Alford St
"Boston, MA",NA,South St
"Boston, MA",NA,N Beacon St
"Boston, MA",NA,Terminal A B C / Parking / Airport Exit
"Boston, MA",NA,Gainsborough St
"Boston, MA",NA,Bus Docking
"Boston, MA",NA,Walk Hill St
"Boston, MA",Atlantic Ave,High St
"Boston, MA",NA,Belvidere St
"Boston, MA",Blue Hill Ave,Calder St
"Boston, MA",,Beacon St
"Boston, MA",NA,Dartmouth St
"Boston, MA",NA,Neponset Ave
"Boston, MA",,Thompson Sq
"Boston, MA",NA,Congress St
"Boston, MA",NA,Theodore Glynn Way
"Boston, MA",NA,Mount Vernon St
"Boston, MA",Auburn St,Main St
"Boston, MA",NA,Terminal A Arrivals
"Boston, MA",NA,to I-90 W / Worcester
"Boston, MA",NA,Chelsea St
"Boston, MA",NA,Gallivan Blvd
"Boston, MA",Blue Hill Ave,Cheney St
"Boston, MA",NA,Cummington St
"Boston, MA",NA,Commonwealth Ave
"Boston, MA",,Albany St
"Boston, MA",NA,to I-93 S / Dorchester / Quincy
"Boston, MA",NA,to Airport Exit
"Boston, MA",,NA
"Boston, MA",NA,New Washington St
"Boston, MA",NA,to Storrow Dr W
"Boston, MA",NA,Exit 26: N Station / Storrow Dr
"Boston, MA",Blue Hill Ave,Hosmer St
